-0.04, 0.34, 0.43, -0.68, -0.56, 1.12, -0.12, -1.04, -1.12, -0.94
-0.91, 0.06, 1.59, -1.05, -0.80, 0.19, -1.16, 0.42, -0.41, 0.56
-0.08, -0.62, -0.14, 0.25, 0.90, -0.85, -0.18, 0.50, 1.18, 0.89
-0.19, -0.75, 0.09, -1.36, 0.50, -0.40, 0.48, -0.15, 0.18, 1.10
0.85, -1.42, -1.16, -1.66, 1.06, 0.27, -0.61, 0.50, 1.44, 1.54
-0.90, 0.19, 0.92, -0.76, -1.05, 1.20, 0.01, -0.24, -0.44, -0.32
-0.54, -0.12, -1.30, 0.46, 0.84, -0.77, 0.38, 0.58, 0.95, 0.55
0.88, -0.32, -0.47, 0.62, 0.03, 0.54, 0.07, 0.44, 1.12, 0.49
-0.60, -0.91, -0.66, 0.81, 0.47, 0.23, 0.48, -0.89, -0.23, -0.70
0.57, 0.63, -0.22, 1.31, -0.68, -0.64, 0.31, 1.65, -0.10, -0.36
0.47, 0.14, -0.99, 0.88, 0.62, 0.46, 0.90, -0.91, 0.40, 0.46
-0.67, 0.05, -0.12, -0.13, -0.00, -0.35, 1.31, 0.05, -0.12, -0.39
-1.53, 1.74, -1.26, 1.43, -0.60, 0.04, -0.20, -0.39, -1.24, -1.30
-0.12, 0.01, -0.79, 1.43, 0.75, -0.60, 0.35, 0.20, 0.57, 0.39
-0.86, 0.53, 2.21, -1.65, -1.48, 2.40, -2.42, -1.21, -1.28, -0.22
1.64, -1.72, 0.24, -0.39, 1.30, -1.27, 1.07, 0.63, 0.43, 1.52
-0.03, 0.50, 0.25, 0.13, -0.28, 0.70, 0.14, -1.14, -0.36, -0.55
-1.22, 0.39, -0.03, -0.11, -0.03, -0.09, 1.03, 0.45, 0.19, 1.53
0.46, -0.70, -0.85, -0.44, 0.95, -0.35, 0.76, -0.31, 0.70, -0.13
-1.05, 0.68, 1.60, -0.74, -1.20, 1.41, -0.57, -1.55, -1.21, -0.85
-0.24, 1.50, 0.61, 0.94, -1.22, 1.26, -0.74, -1.67, -0.62, -0.39
